video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=e9LHgP8JQoQ&t=65s&pp=ygURaGlzdG9yeSBvZiBtYXRjaGHSBwkJTQoBhyohjO8%3D,/@Nioteas,Nioteas TV,"Matcha vs Green Tea, What's the Difference? Is Matcha a type of Green Tea?",167K,4 years,Save Big on Green Tea and Get Free Shipping Worldwide! https://tinyurl.com/2a7mltd6 ...,2026-01-15 23:34:16.155008
/watch?v=oJhvl0FDzXU&pp=ygURaGlzdG9yeSBvZiBtYXRjaGHSBwkJTwoBhyohjO8%3D,/@RealOtakuHistory,Otaku History,The Hidden History of Matcha (It Was Never About Taste) #japaneseculture #japanesehistory #anime,3,3 weeks,Matcha is everywhere today. Lattes. Desserts. Smoothies. Even skincare. But matcha was never created to taste good. It was ...,2026-01-15 23:34:23.587105
/watch?v=i9BQS6oSHGU&pp=ygURaGlzdG9yeSBvZiBtYXRjaGE%3D,/@LeviHildebrandYT,Levi Hildebrand,How America Ruined Matcha,359K,5 months,"Matcha is everywhere these days, and not just in latte form. The term “matcha” has seen the most searches on Google than ever ...",2026-01-15 23:34:23.589111
/shorts/bxaFTXCH118,/@SilentRoots7,Silent Roots,This Is How Real Matcha Is Made by Hand 🍵,223K,5 months,"Watch how traditional matcha is made—from leaf to powder—using centuries-old methods. Pure, slow, and satisfying. Would you ...",2026-01-15 23:34:23.590575
/shorts/HBuyrfdhfGM,/@addictivewellness,Addictive Wellness,The Fascinating History of Matcha: From Zen Monks to Modern Superfood,1.4K,2 years,"Matcha, a type of powdered green tea, has a long and fascinating history dating back over 1000 years. In this short video, we'll ...",2026-01-15 23:34:23.592784
/watch?v=DAM47aFApxw&pp=ygURaGlzdG9yeSBvZiBtYXRjaGE%3D,/@AroundTheBelly,Around The Belly,From Samurai to Starbucks: How Matcha Took Over the World!,136,3 months,Video Chapters 0:00 – From Samurai to Starbucks: How Matcha Took Over the World 1:08 – The Surprising Origins of Matcha ...,2026-01-15 23:34:23.594899
/watch?v=fWcGDD3QJEg&t=74s&pp=ygURaGlzdG9yeSBvZiBtYXRjaGE%3D,/@shukei122,SHUKEI - Japan Travel Vlog,"The Secret of MATCHA | KYOTO, JAPAN",11K,2 years,https://matchadirect.kyoto/ https://www.instagram.com/matchadirect/ □Overview 0:00 Intro 1:14 History of Matcha & Tsuji Riichi ...,2026-01-15 23:34:23.596908
/watch?v=xD7qUfSOGOE&t=212s&pp=ygURaGlzdG9yeSBvZiBtYXRjaGE%3D,/@Nioteas,Nioteas TV,"Japanese Tea Ceremony Decoded: History, Tools, and Meaning",192K,3 years,Save Big on Green Tea and Get Free Shipping Worldwide! https://tinyurl.com/22t2bhlq ...,2026-01-15 23:34:23.598874
/watch?v=xjHWcCP4ZzQ&pp=ygURaGlzdG9yeSBvZiBtYXRjaGHSBwkJTwoBhyohjO8%3D,/@The3amScholar,The 3am Scholar,The History of Matcha | Learn While You Sleep,165,6 months,"Unwind and drift off as we steep into the calming, centuries-old story of matcha — from ancient Chinese tea bricks to Japanese ...",2026-01-15 23:34:23.601033
/watch?v=Jp3ffQbHa7M&pp=ygURaGlzdG9yeSBvZiBtYXRjaGE%3D,/@BoringSleepoverHistory,Boring Sleepover History,History of Matcha | Boring History Video to Listen while Sleeping,No,13 days,"Step into the quiet, timeless world of matcha In this soothing video, we gently explore the history of matcha tea—from its origins ...",2026-01-15 23:34:23.602444
/watch?v=GMPoOg4wZ8k&pp=ygURaGlzdG9yeSBvZiBtYXRjaGE%3D,/@historyofsimplethings,History of Simple Things,What’s the Real Difference Between Green Tea and Matcha?,148K,4 months,"Ever wondered what truly sets green tea apart from matcha? At first glance, they look like close relatives, but their journey ...",2026-01-15 23:34:23.604429
/watch?v=IC8zogRPogQ&pp=ygURaGlzdG9yeSBvZiBtYXRjaGE%3D,/@DoMatcha,DōMatcha,Matcha: The Way of Tea,76K,13 years,"We're excited to unveil our new video, ""Matcha: The Way of Tea"". A travel style mini-documentary that uncovers the history, ...",2026-01-15 23:34:23.605985
/watch?v=fJgowk_V8XY&t=34s&pp=ygURaGlzdG9yeSBvZiBtYXRjaGE%3D,/@Nioteas,Nioteas TV,Why Matcha Is the Healthiest Tea in the World (10 Reasons),305K,3 years,Save Big on Matcha and Get Free Shipping Worldwide! https://tinyurl.com/28o8oclb ...,2026-01-15 23:34:23.607990
/shorts/P6GUV6ruCBs,/@the_eyeopener,Eye Opener,The Art of Matcha: Exploring its Origins and Significance with Andrew Weil | JRE Highlights #1213,6.8K,2 years,Join Andrew Weil and Joe Rogan as they dive into the world of matcha tea in this enlightening discussion from the Joe Rogan ...,2026-01-15 23:34:23.609321
/watch?v=T2fA0KknVvA&pp=ygURaGlzdG9yeSBvZiBtYXRjaGE%3D,/@MatchaDNATea,MatchaDNATea,Interesting History of Matcha!,233,12 years,http://www.matchaDNA.com Watch the video and learn about the interesting history of Matcha and how the tea drinking era started ...,2026-01-15 23:34:23.610623
/shorts/KLQIv4nH938,/@shaynateresetaylor,Shayna Terese Taylor ,The Secret History Behind Matcha Tea #matchalatte #morningritual,4.3K,3 months,"What if one simple morning ritual could change everything? ✨ For centuries, Japanese monks began their days with matcha — a ...",2026-01-15 23:34:23.611970
/watch?v=vTHHJIG_Zx0&pp=ygURaGlzdG9yeSBvZiBtYXRjaGE%3D,/@japanfoodieschoice216,Japan Foodies Choice,[Japanese Tea]Matcha green tea made with 300 years of tradition - Marukyu Koyamaen -,1.7K,4 years,"A time-honored Japanese tea shop, awarded multiple grand prizes in national competitions. Their unique blending skills have ...",2026-01-15 23:34:23.613630
/watch?v=l05dbxl2dq0&pp=ygURaGlzdG9yeSBvZiBtYXRjaGE%3D,/@TrenzVidz,Trenz Vidz,The Secret History of Matcha: From Samurai Fuel to Global Craze,5,3 months,"Behold the vibrant green powder, more than just tea, this is matcha, a story centuries in the making. Our journey begins, ancient ...",2026-01-15 23:34:23.614961
/watch?v=5qFyoXuBByI&pp=ygURaGlzdG9yeSBvZiBtYXRjaGE%3D,/@MissMaryLu,Miss Mary Lu,"WHAT IS MATCHA? History, Health Benefits, & Samurai",417,6 years,What is Matcha? Is it just green tea? How did it get from China to Japan to a Samurai ritual? Is it good for you? Is matcha bad for ...,2026-01-15 23:34:23.616286
/shorts/w7Rw37JpEDw,/@EdibleHistories,Edible Histories,The Secret History of Matcha: You Won’t Believe This!,914,10 months,Did you know that Matcha has a secret history dating back over 1000 years? This vibrant green tea from Japan is more than just a ...,2026-01-15 23:34:23.617725
/shorts/9PcFdJj1Yow,/@GlowyHealth,Glowy ,History of Matcha #matcha #matchalatte #food #health #lifestyle,765,5 months,shorts #health #lifestyle #matcha #japan #culture #history.,2026-01-15 23:34:31.920211
/watch?v=NnDYQv3SS1Q&pp=ygURaGlzdG9yeSBvZiBtYXRjaGE%3D,/@japanesesweetschannel,Japanese culture channel /قناة الحلويات اليابانية,The History Of Matcha,55,3 years,japan #japanese #japaneseculture #japanesefood #japaneseculture #japanesefood #japanesemusic #japantravel #japantrip ...,2026-01-15 23:34:31.925820
/shorts/tinBsQGUw9w,/@TheFascinatingOrigins,The Fascinating Origins,The Origins of Matcha #origins,43,5 months,"Behold the vibrant green powder known as matcha — more than just tea, it's a centuries-old legacy. Our story begins in ancient ...",2026-01-15 23:34:31.927097
/shorts/9cTbzk5B7Cs,/@Condimentalis,Condimentalis,Have you ever enjoy matcha Tea and no clue on Matcha cultivation history? - Part 1 #matchatea,84,9 months,Have you ever enjoy matcha Tea and no clue on Matcha cultivation history? - Part 1 #matchatea You will surprise that Matcha ...,2026-01-15 23:34:31.928394
/shorts/mvXICOEscps,/@planetbuddies,Planet Buddies,The Fascinating History of Matcha: From Zen Monks to Modern Day,71,11 months,"Discover how this vibrant green tea became a staple in Japanese culture, embracing its health benefits and spiritual significance.",2026-01-15 23:34:31.929486
/shorts/27-w3bb_emo,/@KengoNishikawa,MatchaDad from Japan,$70 vs $5 Matcha Whisks: The Shocking Truth Japanese Artisans Revealed… #matcha #japaneseculture,69K,10 months,Takayama Chasen: https://emptea.co/products/takayama-shin-kazuho-for-emptea-matcha-whisk-chasen-%E7%9C%9F Looking ...,2026-01-15 23:34:31.930639
/watch?v=hGNnzIB_Qw4&pp=ygURaGlzdG9yeSBvZiBtYXRjaGE%3D,/@SevenCupsFineChineseTea,Seven Cups Fine Chinese Tea,History of Matcha | How to Make Matcha,439,16 years,"Keiko and Andrea discuss the qualities of matcha, a brief historical background, and finally, how to make it. See a bit more on ...",2026-01-15 23:34:31.934321
/shorts/fc500-ky7VM,/@EpicGlobeExplorers,Epic Globe Explorers,Japanese Tea Ceremony Explained: The Beauty of Sadō & Matcha 🍵✨,42K,10 months,Japanese Tea Ceremony Explained: The Beauty of Sadō & Matcha ✨ The Japanese Tea Ceremony (Sadō or Chadō) is more ...,2026-01-15 23:34:31.935580
/watch?v=--QVp6QEQwc&pp=ygURaGlzdG9yeSBvZiBtYXRjaGE%3D,/@OpenMindVision,OpenMindVision,Matcha: An Ippodo Story,77K,10 years,Directed and Produced by Michael McAteer Director of Photography Kristoffer Brearton Music by Eric Robertson ...,2026-01-15 23:34:31.938308
/shorts/djZDKUSik6A,/@piqtourjapan,PiQtour Japan,Are you a matcha master? 🍵 #japan #japaneseculture #matcha #japanesehistory #history #japanesefood,2.1K,1 year,Do you know the origins of matcha the finally ground green tea powder has a rich history in Japan it was introduced by the monk ...,2026-01-15 23:34:31.941827
/watch?v=tQnz_ZCn-1k&pp=ygURaGlzdG9yeSBvZiBtYXRjaGE%3D,/@TanukiStoriesJapan,Tanuki Stories Japan,"Matcha: The Rich History, Culture, and Health Benefits of Japan’s Green Tea",87,1 year,"Discover the fascinating world of matcha! In this video, we explore the rich history and culture of Japan's iconic green tea. From its ...",2026-01-15 23:34:31.943153
/shorts/NmtV_pM_EbQ,/@Health_Insights_Co,Health Insights,The Story of Matcha: Japan’s Ancient Super Tea,602,1 year,The Story of Matcha: Japan's Ancient Super Tea.,2026-01-15 23:34:31.944398
/shorts/2xOZ2P-5ryw,/@TheKurtaGuy,The Kurta Guy,What is Matcha? Ft. @YourMatchaMommy  🍵 #shorts #food,10M,1 year,Want to try Matcha? . Go follow me on Instagram for more daily updates https://www.instagram.com/thekurtaguy/,2026-01-15 23:34:31.945641
/shorts/8CXaqFkoeLQ,/@matchaleo,Leo Li ,How to make matcha without a bamboo whisk!,495K,2 years,"Using a mason jar, or a bottle is the easiest way to make matcha when you don't have a bamboo whisk or the other tools.",2026-01-15 23:34:31.946807
