video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=13uVij4DsZk&pp=ygUTbWF0Y2hhIHRlYSBjZXJlbW9ueQ%3D%3D,/@DensTeaInc,Den's Tea,How to Make the Perfect Cup of Matcha Tea | Den's Tea,139K,10 years,"To make the perfect cup of matcha tea, you need to have the right tea brewing supplies. Gather your matcha bowl, matcha powder ...",2026-01-15 23:32:31.210921
/watch?v=4wQVxj_0Mdo&pp=ygUTbWF0Y2hhIHRlYSBjZXJlbW9uedIHCQlNCgGHKiGM7w%3D%3D,/@TealeavesCo,TEALEAVES,Japanese Tea Ceremony: A Moment of Ritual | TEALEAVES,316K,8 years,"The unrelenting pace of modern everyday blurs one moment into another, pushing us to seek not only a way out of this frenzied ...",2026-01-15 23:32:31.212710
/watch?v=pgIBoILPmR8&pp=ygUTbWF0Y2hhIHRlYSBjZXJlbW9ueQ%3D%3D,/@Purematchateas,Purematchateas,🍵How to Make Matcha Green Tea - The Right Way 🍵,605K,5 years,Follow these simple steps to prepare Matcha this simple way. This easy-to-follow tutorial introduces all the tools and techniques ...,2026-01-15 23:32:31.214049
/watch?v=QZbB1JjDLSQ&pp=ygUTbWF0Y2hhIHRlYSBjZXJlbW9ueQ%3D%3D,/@SamuraiMatcha,Samurai Matcha,4 Simple Methods on How to Make Delicious Matcha,37K,1 year,"In this video, I'm going to share 4 different ways to make matcha!! ----------------------------------------- Subscribe and become a friend ...",2026-01-15 23:32:31.215276
/watch?v=slBh6ZzOXbE&pp=ygUTbWF0Y2hhIHRlYSBjZXJlbW9uedIHCQlNCgGHKiGM7w%3D%3D,/@Nioteas,Nioteas TV,Matcha Grades Explained - Ceremonial Matcha vs Culinary Matcha,67K,2 years,... https://www.tiktok.com/@nioteas PINTEREST https://www.pinterest.com/nioteas/ #ceremonialmatcha #teaceremony ...,2026-01-15 23:32:31.217218
/watch?v=xD7qUfSOGOE&pp=ygUTbWF0Y2hhIHRlYSBjZXJlbW9ueQ%3D%3D,/@Nioteas,Nioteas TV,"Japanese Tea Ceremony Decoded: History, Tools, and Meaning",192K,3 years,Save Big on Green Tea and Get Free Shipping Worldwide! https://tinyurl.com/22t2bhlq ...,2026-01-15 23:32:31.220609
/watch?v=fmukjUoevf4&pp=ygUTbWF0Y2hhIHRlYSBjZXJlbW9ueQ%3D%3D,/@TealeavesCo,TEALEAVES,Japanese Chado Matcha Green Tea Ceremony #TeaStories | TEALEAVES,861K,10 years,"It is our privilege to film this beautiful Chado ceremony, which has been an important inspiration for TEALEAVES since our ...",2026-01-15 23:32:31.221984
/watch?v=Y_m2QyrCWZM&pp=ygUTbWF0Y2hhIHRlYSBjZXJlbW9ueQ%3D%3D,/@TOKYOASMRMASSAGE,TOKYO ASMR MASSAGE,Matcha & Sadou 🍵 Traditional Japanese Tea Ceremony,107K,2 months,"In today’s busy world, it’s easy to feel mentally and emotionally exhausted.
Through the practice of sadou, the art of ...",2026-01-15 23:32:31.224049
/watch?v=KlFXl--H8eM&pp=ygUTbWF0Y2hhIHRlYSBjZXJlbW9ueQ%3D%3D,/@BusinessInsider,Business Insider,Why Ceremonial-Grade Matcha Is So Expensive | So Expensive | Business Insider,5.5M,3 years,"The greener matcha is, the smoother and more complex its flavor. But not all matcha is the same. Matcha at its highest quality is ...",2026-01-15 23:32:31.228778
/watch?v=XLIJ9_3dEzg&pp=ygUTbWF0Y2hhIHRlYSBjZXJlbW9ueQ%3D%3D,/@senbirdtea,Senbird Tea,"New Year, New Rituals with a Ceremonial Matcha Set | Senbird Tea",2.8K,2 years,"Introducing our new Ceremonial Matcha Set, a complete 6-piece collection designed to bring the authentic Japanese matcha ...",2026-01-15 23:32:31.232187
/watch?v=mmcnkQ7MadI&list=RDmmcnkQ7MadI&start_radio=1&pp=ygUTbWF0Y2hhIHRlYSBjZXJlbW9ueaAHAQ%3D%3D,/@jazzhopcafe,The Jazz Hop Café,Japanese Tea Ceremony 🍵 Asian Lofi Beats,236K,3 years,"The Japanese Tea Ceremony, 'The Way of Tea' also know as 'chanoyu' is a ritual of preparing and serving Japanese green tea ...",2026-01-15 23:32:31.236376
/watch?v=2doEhQaynLs&pp=ygUTbWF0Y2hhIHRlYSBjZXJlbW9ueQ%3D%3D,/@TeaOfJapan,TeaOfJapan,How to make Matcha (Traditional Japanese Green Tea),321K,12 years,"How to make a cup/bowl of Matcha. Recipe: 3 to 4 grams of Matcha if you are making ""Usucha (or Ousu)"" 5 to 6 grams of Matcha if ...",2026-01-15 23:32:31.237783
/watch?v=cBZj4bF3x70&pp=ygUTbWF0Y2hhIHRlYSBjZXJlbW9ueQ%3D%3D,/@InspireWithinOfficial,Inspire Within,Japanese Matcha Tea Ceremony 🍵 Ambient Music To Relax,2.8K,2 years,"This Japanese Matcha Tea Ceremony set to ambient music is the perfect way to relax, make sure to take some time during your ...",2026-01-15 23:32:31.245256
/watch?v=7P2BuPQ7oDg&list=RD7P2BuPQ7oDg&start_radio=1&pp=ygUTbWF0Y2hhIHRlYSBjZXJlbW9ueaAHAQ%3D%3D,/@RelaxSleepMusic,YouRRelaX - Relaxing Music,"Japanese Music Tea Ceremony ● Nature Inspiration ● Morning, Zen Meditation Music for Yoga 352",43K,5 years,Really calm and beautiful ancient Japanese music for meditation & tea ceremony. ✘ Do you like music? Leave your comment ...,2026-01-15 23:32:31.246684
/watch?v=rMiOxrJJeo8&pp=ygUTbWF0Y2hhIHRlYSBjZXJlbW9ueQ%3D%3D,/@Nioteas,Nioteas TV,Japanese Tea Ceremony Utensils - 19 Tools Used in the Japanese Tea Ceremony,8K,3 years,Holiday Sales are here! Save up to 64% off on tea and teaware https://tinyurl.com/ywrrz4d8 ...,2026-01-15 23:32:31.248710
/watch?v=7tt7NBIVeMY&pp=ygUTbWF0Y2hhIHRlYSBjZXJlbW9ueQ%3D%3D,/@dongoede,Don Goede,Japanese Tea Ceremony: Tea At Koken WITH SOUND,1.2M,17 years,Tea At Koken: A Japanese Tea Ceremony By Joy Mari Sato in the Wet Mountains of Colorado • Produced by Smokemuse ...,2026-01-15 23:32:31.251334
/watch?v=peHUAD_sFtU&pp=ygUTbWF0Y2hhIHRlYSBjZXJlbW9ueQ%3D%3D,/@LetsaskShogo,"Let's ask Shogo | Katana, Budo, & Kimono",How Matcha is Actually Served in Japanese Tea Ceremony,28K,4 years,"Even if you are interested in the tea ceremony, it can be very difficult to understand what is actually being done. In such a situation, ...",2026-01-15 23:32:31.255483
/watch?v=iV0-3M09bxY&pp=ygUTbWF0Y2hhIHRlYSBjZXJlbW9ueQ%3D%3D,/@LetsaskShogo,"Let's ask Shogo | Katana, Budo, & Kimono",What Actually Goes on During the 4 Hour Long Japanese Tea Ceremony,118K,4 years,"There are many people, including Japanese who believe that tea ceremony is just about drinking tea. But actually, drinking tea is ...",2026-01-15 23:32:31.257723
